22 2000
-16 4 21
-13 -2 -18
11 3 -3
9 6 1
-13 -1 -17
8 -21 7
-14 4 -19
-8 -5 5
9 -5 -9
10 -18 -10
11 3 -10
-5 6 7
20 22 15
-15 14 7
13 5 -17
-22 -3 -17
9 -10 -9
-15 -13 14
10 11 -11
-21 -3 7
-19 20 4
19 3 -9
-4 -18 14
-15 -13 22
9 19 15
-8 14 -17
-22 6 -17
-7 -6 -12
17 -14 -3
17 10 -5
-16 -15 -2
-15 5 -11
-14 20 -17
-8 20 22
11 -4 -17
-7 -21 17
-21 4 -10
17 -12 -1
-16 3 -21
-16 -15 -3
16 -11 14
3 -20 7
9 19 5
17 -12 -9
11 -20 -2
-11 14 -2
-8 10 -2
10 13 21
11 -5 -3
-13 13 15
-19 6 -17
8 18 -14
17 20 -19
20 4 15
-16 -8 5
17 -14 21
-16 9 -18
3 -20 4
17 -12 -20
-8 17 -17
17 -5 -7
17 20 12
10 -6 6
-8 11 -12
-20 -4 -3
-16 2 -12
-7 -3 -1
-16 -7 19
10 20 -9
-20 -12 12
-3 -19 15
1 -19 -10
-15 18 -13
-8 9 17
-13 20 6
8 -15 5
-3 12 13
-22 11 -20
-6 12 14
16 -1 -2
3 -12 -17
17 10 -6
-22 12 15
2 -22 22
16 -17 7
-8 20 5
8 5 7
8 12 -18
16 -11 -17
-15 2 7
-22 -20 -3
-14 20 -10
16 -2 -17
-7 19 -3
3 20 6
1 3 7
-21 12 5
17 2 -18
-5 -12 -1
-14 10 22
9 3 12
-7 -19 -1
-14 -13 6
8 -6 6
1 18 10
21 14 15
-8 12 -17
-20 5 -1
9 -5 5
-13 3 -21
16 9 -12
-7 2 -14
-14 20 -10
-5 21 15
8 -13 14
-7 -5 20
1 10 -4
17 -13 -20
-8 8 15
-6 -13 22
9 20 7
-6 2 -20
10 -20 22
-8 14 7
2 -20 -17
-21 6 -13
-13 13 -21
-8 -21 -13
5 -10 14
18 -18 -9
-16 4 -12
-7 -12 -1
-15 -14 -11
1 10 -2
11 12 -11
-15 -5 -19
-8 1 18
18 -12 5
-22 -6 21
-12 4 -11
-5 21 -9
10 -14 -17
-14 -5 -18
18 -5 -11
-15 -4 21
10 22 -9
1 11 6
-16 -18 -2
-6 -5 4
-14 3 -19
-12 -11 -10
-6 19 21
2 -14 22
-14 2 12
10 -5 21
-4 -10 -9
-20 20 -11
-6 -13 20
-15 -18 6
10 -6 22
19 12 15
-4 -19 -17
9 3 -20
3 -12 22
-5 -20 -13
16 6 -17
-6 -3 7
1 -21 -13
1 15 -17
18 19 -21
10 2 14
-21 -4 20
13 -1 -17
8 -5 -9
-13 -4 -5
-3 22 14
21 -11 -1
2 -14 -11
-16 6 22
-20 -18 -1
15 -2 -17
16 -12 13
-6 19 -4
-8 19 -17
-15 19 13
16 9 -6
-7 4 -3
-16 9 19
-13 -1 -5
-7 -14 -19
-8 20 -9
-5 -4 15
17 12 -3
-8 -7 -3
-14 11 20
3 5 -10
-3 -18 -17
-22 11 -4
18 -2 -18
-21 21 -17
8 -11 7
-8 4 21
-15 -22 -13
16 19 -13
