22 1000
8 -21 20
-13 -9 -17
1 -22 6
-15 9 15
17 10 -12
16 21 22
-9 -2 22
-9 22 -17
-22 -6 4
-14 -12 5
8 18 4
-8 19 13
1 -11 7
-11 -12 21
-21 4 -9
18 20 -17
16 12 13
18 -22 -3
-7 -12 -9
3 -4 14
17 -4 15
16 -3 -1
9 18 -15
16 -3 -18
-13 20 -12
11 -7 -5
16 -1 -2
8 -4 4
12 -20 -2
-16 -20 -1
16 -15 7
-6 21 -1
10 18 6
18 -14 -17
10 -12 -2
17 -11 -7
-7 -21 14
-16 -6 4
16 -5 -20
10 -20 -9
9 -2 14
-8 -19 7
-16 -7 13
3 -14 -22
-15 -20 21
-16 13 -2
-15 9 22
17 10 -4
-21 -11 -9
-6 -13 -20
17 -22 6
-6 12 -17
12 -10 22
8 4 -19
2 -18 15
-15 -7 -17
1 -13 14
-8 -3 5
-8 20 15
17 -6 -17
11 -1 15
3 1 -5
-14 -11 -10
-7 -22 -2
-8 -5 -18
9 12 -3
-10 -1 -17
3 4 -9
-14 19 22
10 -18 -17
-22 -21 -9
-3 -2 -17
-15 -19 5
-14 18 -5
-20 -19 -9
19 -6 -21
18 -6 22
17 -21 -4
11 -12 21
8 17 -8
-15 19 -1
21 10 -19
-16 7 -9
9 -20 15
-13 -1 -9
-15 13 6
19 -3 -21
-22 -2 7
-15 -22 -17
19 13 -9
16 17 -2
3 21 -13
12 -10 -17
8 -11 15
-13 12 21
10 -5 -2
3 -7 11
18 20 21
-6 -2 15
-6 -2 15
-16 -22 -5
-8 6 7
10 -10 6
-8 -6 -1
13 6 -9
18 -5 -1
-8 -15 10
4 12 -2
1 -14 7
-7 -13 1
-19 18 -3
17 -13 -17
11 -5 13
-19 -3 17
-22 -12 -10
12 15 -17
5 13 -9
-13 20 13
-15 -20 -1
-16 -6 -21
18 -4 13
-22 6 14
12 -1 -9
1 -4 -11
-20 12 -2
8 2 -14
2 19 -20
-21 20 -1
9 12 15
-9 -10 15
-8 10 15
11 13 -21
-7 -12 13
-13 4 22
-7 18 19
3 19 7
-16 -21 6
16 11 -11
-14 -1 6
17 3 14
-16 -6 22
-6 3 6
-20 4 -3
19 20 -13
16 -13 5
11 21 6
-14 -13 -17
10 -19 -9
4 12 -10
-7 -22 -11
-19 3 5
-14 2 5
18 10 -21
-13 -11 -21
9 3 -18
2 -2 7
17 -2 14
-1 -2 -17
17 2 -10
4 -4 -9
-6 22 7
11 3 7
5 -18 7
18 -20 5
8 1 6
-8 -6 -5
-7 19 6
-15 18 13
-13 13 -17
-6 -18 15
18 2 -3
8 -13 -11
-14 20 21
-11 13 -18
12 -19 -2
-15 18 3
-14 12 -10
19 20 4
12 -2 -9
-8 19 14
9 -6 -2
18 19 -18
-16 6 7
17 10 -1
1 5 9
17 2 22
-6 -4 12
16 21 15
-14 -13 6
12 -19 -10
2 13 -3
-6 3 -17
-8 20 6
-11 12 5
20 21 6
8 -4 -3
1 18 -21
-6 11 -10
8 20 -1
17 18 21
9 -21 -11
8 9 13
-16 17 18
16 1 4
9 -18 -17
-13 13 6
-14 18 20
18 -12 21
-22 -14 -11
-3 22 -17
-8 19 -17
2 20 21
8 -5 -19
9 -3 -2
-7 3 4
-7 -14 -12
11 22 -17
-6 5 -2
8 -20 -18
9 2 -18
-3 18 5
-6 -21 15
17 18 -20
12 -4 21
5 -2 -10
-6 11 -5
-8 -12 22
-14 -10 -18
3 10 -14
18 -1 22
-13 12 -9
16 -13 6
16 -16 15
-13 -20 -11
18 -20 -19
-21 -12 14
-14 -5 -13
8 -16 -21
-20 21 7
-7 -14 11
16 19 -20
-6 19 -10
10 -20 -9
16 4 22
-15 22 -9
17 2 -17
18 20 -3
1 2 -11
-16 -20 -10
17 3 -19
8 10 -4
12 -20 22
-15 -4 -18
10 -14 -18
-8 -19 6
17 -12 -3
-20 13 -18
11 14 15
9 3 -4
-14 -13 15
18 -11 22
5 20 -4
-20 -19 -2
9 -3 15
-7 2 15
8 11 -18
21 20 5
-8 -10 -18
10 4 -20
21 -10 -9
-16 -8 19
-16 19 -17
12 -12 -11
-8 17 -16
-5 -20 -3
10 -5 22
11 19 4
-15 -3 7
-6 4 -12
-15 -19 -18
9 -21 5
2 -6 -12
18 -21 -4
12 -4 -2
-8 1 2
19 6 15
-13 -10 -18
-14 11 21
-5 -4 -10
17 11 -17
-7 10 9
3 4 7
-22 -4 21
-8 1 13
-7 14 15
-13 3 -17
20 14 7
12 20 -12
17 2 -14
17 19 7
17 2 -2
9 6 22
17 -14 -7
16 14 -1
-15 11 15
-13 4 -1
-14 5 -18
-4 -18 -17
-16 1 6
18 -20 -18
8 -22 -10
-22 -11 -18
-16 12 13
11 -4 -2
-20 -19 7
-7 -2 6
11 4 21
-6 2 -19
1 -22 -3
19 20 4
-8 -4 -10
8 3 15
8 9 7
12 14 -9
-15 20 12
-13 12 21
-6 -3 14
-6 5 -10
-17 7 15
21 -18 6
17 -5 -18
-5 -11 -13
16 -12 21
-8 -11 15
-12 -2 -9
-8 -6 -18
18 -2 14
11 -1 -17
16 9 7
-14 11 -10
16 17 5
-16 10 14
-16 -5 5
-13 19 7
3 -12 -2
-12 5 -18
10 18 -19
10 14 -1
1 10 13
-22 -13 13
-15 12 -3
3 12 22
17 -14 -22
17 -5 -10
10 20 15
-15 -4 6
-11 5 -2
9 12 21
16 12 -2
2 19 4
-8 -14 -13
1 -2 15
2 -5 -11
-16 17 16
-13 -12 -17
9 -21 -17
8 -8 2
5 4 -11
-7 -14 19
-14 -5 -3
17 10 -12
8 9 -13
-16 3 -11
-5 20 21
10 -6 -18
-6 4 15
16 8 15
-8 21 6
17 3 21
19 -13 -9
-14 -20 13
-22 13 14
9 2 20
1 -3 7
8 12 -3
-7 -14 -2
13 -10 7
1 9 7
16 10 4
8 -22 7
1 13 -1
12 -4 15
9 3 -20
14 -2 -1
9 18 -19
-6 20 -2
9 3 -18
9 -21 20
-21 -4 -12
18 -2 -9
8 2 -19
-22 20 -2
-7 -21 14
13 12 5
-7 19 13
-7 4 15
-22 2 -11
9 6 -18
8 -7 -2
1 4 -4
20 -10 -17
-7 3 -1
-16 17 11
2 12 21
10 -21 6
-8 13 22
-4 12 14
11 21 6
1 -20 -17
-8 21 7
-21 12 -3
-7 -22 13
11 -19 -10
-8 -21 -18
3 4 -9
1 3 -20
-14 -5 -10
-22 4 -17
11 -18 -21
-19 21 6
5 -12 12
3 -22 11
21 -18 14
-21 -19 -9
-4 4 -19
-12 -18 -2
9 -12 -4
-6 11 -4
11 21 -13
10 4 -19
-16 4 -11
-20 -2 15
-7 12 6
-20 6 -9
-15 12 -9
-8 -7 -21
11 -12 -3
20 5 14
1 18 6
8 17 19
9 13 7
13 -3 -17
-6 -18 -2
-8 3 12
-7 12 -19
-12 21 -1
-7 -11 13
-22 -13 -9
12 -2 22
18 -22 -9
-16 -5 -19
-14 18 -11
21 -2 7
-3 -6 -11
11 5 -10
-16 21 -1
-5 13 -17
-7 -6 9
8 -13 21
10 -14 6
8 -7 -9
8 -7 -22
16 -1 15
-16 -19 6
16 -12 21
-22 -19 22
-15 -10 -18
-16 -3 -17
3 17 19
17 -6 -13
16 -22 21
-14 -20 -19
19 -11 -13
-5 -19 7
1 -21 -11
-22 -5 -2
-16 -15 -18
-6 15 7
-6 -5 15
-13 4 -20
9 -14 21
11 -22 -6
-16 -11 6
1 18 20
8 -15 -20
-20 -10 7
16 -3 -19
-16 -14 14
-14 -13 13
18 12 -17
19 3 -18
-7 -20 15
-8 -6 -14
-4 -20 6
-6 18 -21
6 -18 -2
-22 -5 21
-7 22 -9
-15 -5 -9
-8 18 3
2 18 21
-17 -12 15
20 6 7
-6 -13 -1
-16 -12 15
17 -20 -11
17 10 -21
1 2 18
18 22 7
8 16 -16
16 3 12
-7 14 15
4 14 -10
-22 -3 -18
9 10 19
12 4 -19
1 -22 -19
18 5 22
-21 -12 15
1 -14 21
4 -20 -10
-8 3 6
19 14 -10
19 -2 -13
-21 -2 -17
-5 -2 7
8 -22 -5
8 -7 -13
19 -20 22
13 -3 15
13 14 -17
2 21 -10
1 -21 -3
18 -2 7
19 13 -17
8 19 -5
-6 10 14
-21 -19 22
-12 -19 22
16 17 22
18 -4 -20
-15 20 -17
19 -12 21
-8 -15 19
3 -13 -19
1 4 13
-8 -10 14
16 -18 6
16 13 15
17 -5 -4
10 -1 7
-16 22 -2
1 11 5
17 -11 -7
9 11 -13
3 -3 -1
-15 2 11
19 -12 13
8 -20 -11
16 -20 -19
-7 12 -2
-12 22 -9
-11 -3 -19
2 13 -18
16 -11 -1
-7 -11 15
16 -20 5
17 21 -18
8 10 -1
1 -6 15
-7 -14 -12
18 12 -19
-7 -4 1
-12 21 7
2 13 14
2 -13 6
-22 10 -4
11 -10 -2
-7 5 -1
-8 17 -2
19 -22 11
-6 18 -19
3 -4 -1
8 -15 -17
19 22 -10
-7 -22 -4
-22 -14 12
-6 -18 -1
-22 -13 12
-7 21 -10
16 -5 4
-13 4 -19
-22 -5 -9
-14 -21 -11
-21 4 7
20 13 -18
-22 -3 7
-22 -12 5
-21 -20 12
21 -10 -18
9 -14 21
1 -6 -4
-8 -3 -18
-7 21 22
-11 4 5
19 -2 -9
8 -6 20
10 12 -3
21 -4 5
-19 -18 -17
-16 -7 -19
17 -15 9
-6 5 6
-7 -19 5
-6 20 15
-16 -14 -5
9 3 21
-21 4 7
9 -14 15
-16 -12 -9
-8 2 13
-8 6 15
13 21 15
-16 11 15
-20 -1 6
9 -22 5
19 20 6
-12 14 15
18 -3 -10
-16 18 7
-22 5 22
19 -2 -5
-6 -3 -2
-7 -5 14
2 -22 -14
8 5 7
-22 -21 -20
-6 -13 -18
-4 22 -18
2 -21 -18
-21 12 -17
17 -6 20
1 -20 6
-7 -21 20
1 -13 15
-8 3 -10
-19 -1 7
-7 18 15
16 13 6
-8 19 -2
20 -20 -18
-13 -20 -3
-8 -16 -5
-7 11 20
1 -14 -4
-16 -5 4
17 -6 -12
-20 13 7
9 -3 17
-6 18 21
2 12 -4
16 -14 20
1 -14 14
-8 1 12
-5 11 -13
-8 -14 -3
1 -22 -3
9 20 14
-6 -13 5
-7 -14 -9
-14 -6 5
-11 -14 21
2 18 -6
20 -12 -11
16 -15 4
-8 13 7
9 -22 -3
-5 -20 12
19 -12 -2
18 19 -2
-7 12 -12
-8 -13 15
-15 10 -19
10 19 -2
9 -14 -18
-15 -20 -3
18 20 12
9 20 -12
-16 -20 13
16 -2 -18
-16 -3 -10
16 9 -3
-22 -3 -9
-16 9 14
3 5 7
16 4 13
8 -6 14
-16 -12 -17
3 20 -19
-16 -2 14
16 10 -4
3 19 -1
10 -22 -9
8 16 15
-16 18 3
19 21 15
1 -6 15
11 -7 3
8 -8 4
-8 5 -19
2 3 14
1 -21 -10
-7 2 12
-4 -10 -17
12 -1 -17
-6 -3 -1
18 -12 13
9 4 -17
-16 9 -5
10 19 21
16 -21 4
16 -4 -1
1 -6 -19
21 -11 7
10 12 5
-22 -4 6
-16 17 13
4 -1 -9
-14 15 -17
21 22 -2
4 5 -1
-8 3 -5
3 -19 -1
19 -12 -3
-6 10 4
1 -5 -10
1 -6 21
11 12 15
1 18 -11
16 7 -9
11 -9 -13
-7 -11 6
-16 -19 15
-8 -18 -10
8 13 21
3 -14 11
19 5 6
16 19 3
11 6 -1
10 -21 -13
16 -19 6
4 -11 -1
8 11 -13
1 -3 -18
10 5 -2
4 -19 -18
-16 -22 -11
10 -11 -10
17 12 -20
-16 4 -1
-16 4 -19
17 12 6
-7 12 17
-16 18 22
-5 22 -1
3 -10 -18
9 5 -9
10 5 14
16 3 -5
8 4 15
-1 14 6
-11 6 -18
5 -1 -18
-16 19 14
20 -19 14
16 6 -2
17 5 22
-8 9 -5
21 -10 7
-8 -15 12
-12 -11 6
8 17 6
2 -12 21
16 -16 -1
11 20 6
-13 20 -18
10 -3 -9
9 4 -1
-15 -6 -21
-21 -10 22
20 -10 6
1 4 -17
-14 -11 -2
-15 -22 -9
-13 -11 22
16 8 13
8 -20 -18
-14 11 -2
-14 11 -4
1 -12 -18
1 3 4
-16 9 6
-14 4 14
8 9 -11
4 -18 -17
21 13 -17
16 11 14
18 -2 -17
10 11 22
17 -4 -1
2 12 5
-3 13 -11
-21 12 -13
16 3 -11
10 11 -3
16 1 -4
-11 -4 21
16 -7 4
-16 -13 4
-7 18 7
-21 4 -19
3 -20 22
-15 -14 -9
9 -12 14
-7 20 -3
16 2 -3
-5 5 14
-4 5 7
-15 19 -4
-15 4 -7
-19 -18 6
18 3 -4
-21 -9 -13
16 -1 -18
-22 5 -10
-4 -19 -2
-14 -2 -10
11 12 -19
-7 -6 -22
-7 -11 15
16 1 7
-8 11 4
17 20 -2
-6 -22 15
-17 -10 15
-22 -13 -11
-16 9 -18
1 -14 7
-17 14 -10
10 3 4
-8 11 5
-15 13 17
-16 13 -18
12 -10 -1
-21 -12 22
2 6 -2
19 4 -2
-8 5 15
17 -21 14
3 12 -12
-19 -3 22
-21 5 -13
1 -21 13
12 -20 -9
8 -7 -21
3 13 15
4 12 6
1 20 13
-14 -1 15
16 1 -18
1 14 7
10 13 22
-13 22 15
-14 11 -12
-16 18 -5
17 18 11
8 12 5
-20 -1 6
-16 1 20
4 21 6
9 18 -22
-7 14 -17
-8 -12 -9
-8 9 14
16 -21 -17
8 -13 -5
10 19 5
9 6 22
2 14 -9
-15 -22 13
-20 -4 5
-22 11 -2
8 -13 22
16 18 -22
16 2 -19
2 4 -9
9 22 -1
10 19 12
-8 -15 -10
-16 -5 -2
-4 21 22
-7 12 17
9 2 14
4 -10 6
-21 7 -9
-13 6 15
-16 11 22
-17 -19 15
-16 -21 6
-22 -20 15
10 -19 -10
19 -17 15
10 3 13
16 -21 -18
9 -21 -3
-8 19 -4
-12 14 -1
-6 11 -2
-7 20 1
-19 -3 -11
-16 17 22
17 18 19
8 -5 4
-6 21 -11
-13 -11 -9
8 -13 4
-21 -3 7
11 -11 15
-16 5 22
9 -20 1
8 17 -20
-8 -20 14
17 -14 -3
3 21 7
1 19 -10
17 -14 -22
16 18 -4
18 14 6
9 -10 -9
2 14 -10
18 -12 14
-6 19 -19
-22 18 -1
9 11 -12
-16 -6 6
-7 -3 -1
16 17 15
16 9 -13
-8 -13 -4
-16 3 22
-14 11 -9
20 -4 -12
-20 4 -2
8 17 -17
-22 -18 -17
-4 -1 7
-16 -14 -22
13 12 5
-7 20 -1
17 -4 -9
8 4 -19
16 -5 -2
-15 -11 -17
10 21 -11
18 4 -9
17 10 15
-8 11 6
9 -18 22
16 12 -17
11 20 -21
-8 22 -17
-8 -22 13
18 -21 7
-15 12 -19
17 -14 20
17 -1 15
-12 -11 7
-9 -10 -2
16 -6 -10
-8 17 22
16 18 -1
-7 -3 7
-15 19 -4
20 21 14
-20 6 15
-14 -4 20
-20 5 -9
8 4 -17
16 -18 -9
20 -20 -4
