25 2000
9 -14 -23
1 5 -1
-23 21 -2
-15 14 15
9 -2 -1
-14 2 -11
-22 -21 -1
25 6 -9
-6 -21 14
-5 -11 -18
1 13 -1
-24 11 -9
-6 -1 -9
-25 -3 15
-23 9 15
-14 4 -9
20 -10 6
-12 15 -25
24 -7 9
3 12 13
16 -7 -13
-16 -4 -18
-15 -6 21
10 13 6
9 -5 -20
9 11 -18
-7 10 -2
-22 19 -2
12 5 15
-16 17 -14
24 -18 -2
-22 -20 -25
2 -1 6
-23 18 -20
24 -1 15
-8 -20 -19
-8 2 3
4 21 7
-8 -20 -1
1 -5 20
24 -23 -5
7 12 -25
24 -12 -3
1 -20 -9
19 20 -21
8 25 -5
9 -23 17
16 19 -19
3 11 6
-11 19 21
-23 -2 -9
10 -19 15
-22 -13 7
10 -21 -19
11 -11 -1
24 -24 -4
18 -13 -4
-15 19 15
-22 -4 -9
-24 25 -1
-8 1 13
9 11 20
25 11 -25
24 9 -22
8 18 11
24 10 -3
-14 3 -17
16 -3 14
-8 18 14
18 -12 7
-22 3 6
4 20 -18
20 5 23
11 20 6
10 -22 13
-13 20 22
6 -10 23
-5 12 -20
-8 -11 -25
17 2 -21
9 19 20
-5 19 7
1 -14 23
16 -7 -12
-7 21 6
-19 20 -11
9 3 21
1 21 17
-7 12 -19
-21 -18 -25
-24 2 3
9 4 -1
-24 9 -10
-23 -10 1
-24 9 -18
-16 12 7
-16 10 20
-24 24 1
-16 10 -18
-8 3 -5
-3 -10 -25
24 -18 6
25 -6 -4
-19 14 -25
-24 -6 12
-22 20 -25
16 18 7
-3 21 15
-16 19 -5
12 -11 7
1 -4 -17
24 -10 -17
-22 14 23
17 -14 2
18 -4 -9
-5 4 -1
20 -12 13
16 -7 -20
-15 21 15
-21 -11 7
9 -1 -17
24 -14 -5
16 -6 22
2 -1 7
17 2 20
-24 -4 14
8 -16 22
3 -2 22
-23 18 23
-16 11 -2
20 13 -17
-16 10 -13
16 10 23
25 -21 12
9 -20 12
-16 -1 15
8 -20 -11
-16 -21 -20
-8 24 -13
-14 14 23
-20 21 6
21 -20 -4
-6 -21 7
21 13 -1
-7 18 22
-14 20 14
24 -8 -14
-5 -13 7
8 -22 -19
17 11 -1
-8 -12 23
-23 -19 -11
-8 25 -4
8 2 15
2 20 -3
24 -13 14
-8 11 21
25 -5 -13
-8 14 -25
24 -17 -25
-8 -17 7
19 -3 -10
-23 -13 -2
-16 -23 -21
11 4 -9
-6 4 23
-6 -1 15
-15 -5 -13
24 2 6
-24 24 -19
-8 18 12
1 -18 6
-7 -14 15
1 -6 -3
-7 -14 11
-8 -23 2
-8 12 6
-12 -10 -25
-23 -13 -7
-4 -19 22
-11 21 23
24 -13 -11
17 -15 1
25 6 -9
-11 -22 -3
-24 16 -15
-6 11 4
-19 5 15
20 13 -1
-12 5 15
-8 9 -9
-20 -19 -9
8 -21 -12
-7 -6 19
8 -15 -2
9 -22 -10
-20 21 -17
-15 -19 15
-3 -10 15
9 -15 14
-15 2 -21
-24 3 -11
-24 24 -25
4 -18 7
-6 -5 -18
-13 -1 -5
2 14 23
-24 -5 4
-16 5 7
2 -4 -18
-23 2 21
-13 20 5
8 17 -5
24 -11 -9
-8 16 -3
-8 9 -9
17 -7 15
-19 -1 6
18 2 -10
3 -11 23
-2 -10 -9
-13 13 23
16 -10 23
-7 -4 -3
20 21 6
18 -18 7
17 -22 13
19 -12 -9
-15 -19 -1
-4 14 7
16 -7 14
18 22 6
24 -4 -11
11 -6 18
-7 3 -23
10 12 -25
1 -20 7
25 -6 11
-16 -22 -1
2 -9 7
-16 21 15
-20 -3 -1
-7 19 6
-8 -16 -17
9 -21 -2
-20 -12 -2
8 17 -22
9 -13 -17
25 14 17
-5 12 -21
4 -2 23
-4 -11 23
2 -20 7
1 -13 -2
16 -22 12
-22 11 -1
-15 10 5
18 11 -11
1 -19 7
2 12 21
-16 -22 15
18 -20 6
10 -5 4
-4 21 -25
-23 -12 7
18 11 6
9 10 -2
4 -10 -25
25 12 -4
-14 -22 23
18 6 -1
-14 -20 21
-16 4 -25
8 -23 -10
3 -1 -17
25 20 -1
-4 -18 -17
25 -6 -1
-22 21 22
19 4 -13
1 18 -23
